"ID","NAME","EXPDATE","CANCELLED","TRIGGERDATE","INITOREXT","TRIGGERORG","STARTDATE","TRIGGERGROUPSIZE","COMMENTS","TRIGGERTYPE"
80,"Jeffreys Ledge",2009-01-27 00:00:00 AMERICA/NEW_YORK,"",2009-01-10 00:00:00,"","17",2009-01-13 12:45:00 AMERICA/NEW_YORK,7,"Extended to 2/10/2009 on 1/26/2009 due to sighting of 21 whales in the area. Maine Marine Patrol","v"
81,"Jeffreys Ledge",2009-01-29 00:00:00 AMERICA/NEW_YORK,"",2009-01-13 00:00:00,"","1",2009-01-16 16:00:00 AMERICA/NEW_YORK,3,"","v"
83,"Southern Jeffreys Ledge",2009-02-25 00:00:00 AMERICA/NEW_YORK,"",2009-02-10 00:00:00,"","1",2009-02-11 17:00:00 AMERICA/NEW_YORK,5,"3 DMAs implemented concurrently.","v"
82,"Northern Jeffreys Ledge",2009-02-25 00:00:00 AMERICA/NEW_YORK,"",2009-02-10 00:00:00,"","1",2009-02-11 17:00:00 AMERICA/NEW_YORK,6,"3 DMAs implemented concurrently.","v"
84,"Great South Channel",2009-02-25 00:00:00 AMERICA/NEW_YORK,"",2009-02-10 00:00:00,"","2",2009-02-11 17:00:00 AMERICA/NEW_YORK,12,"3 DMAs implemented concurrently.","v"
85,"Georges Shoal",2009-03-28 01:00:00 AMERICA/NEW_YORK,"",2009-03-13 00:00:00,"","1",2009-03-17 17:20:00 AMERICA/NEW_YORK,3,"3rd whale to trigger DMA discovered upon review of photographs.","v"
86,"Georges Shoal",2009-04-25 00:00:00 AMERICA/NEW_YORK,"",2009-04-10 00:00:00,"","1",2009-04-13 10:45:00 AMERICA/NEW_YORK,5,"","v"
87,"Cashes Ledge",2009-05-27 00:00:00 AMERICA/NEW_YORK,"",2009-05-12 00:00:00,"","1",2009-05-12 17:15:00 AMERICA/NEW_YORK,15,"","v"
88,"Jordan Basin",2009-05-27 00:00:00 AMERICA/NEW_YORK,"",2009-05-12 00:00:00,"","17",2009-05-13 16:30:00 AMERICA/NEW_YORK,3,"Maine Marine Patrol","v"
89,"Cashes Ledge",2009-06-15 00:00:00 AMERICA/NEW_YORK,"",2009-05-31 00:00:00,"","1",2009-06-02 16:30:00 AMERICA/NEW_YORK,37,"Extended to 6/29/2009 due to sighting of 7 whales on 6/14/2009 during partial survey of Cashes. Survey aborted after only 2 track lines completed due to fog.","v"
90,"Cashes Ledge",2009-07-21 00:00:00 AMERICA/NEW_YORK,"",2009-07-06 00:00:00,"","1",2009-07-09 11:30:00 AMERICA/NEW_YORK,3,"Same boundaries as previous DMA based on likelihood that these whales were remnant from previous agg. (were within bounds of previous DMA) and previous bounds appropriately rep. potential dist.","v"
91,"Fippenies Ledge",2009-09-16 00:00:00 AMERICA/NEW_YORK,"",2009-09-01 00:00:00,"","2",2009-09-02 15:50:00 AMERICA/NEW_YORK,5,"","v"
92,"Jeffreys Ledge",2009-10-27 01:00:00 AMERICA/NEW_YORK,"",2009-10-12 00:00:00,"","8",2009-10-15 13:00:00 AMERICA/NEW_YORK,11,"Delay due to lack of pager coverage in Quebec City. Boundaries calculated/confirmed via telephone conversation with Tim Cole on 10/15/2009., extended to 11/11/2009 (see event #19)","v"
93,"Jordan Basin",2009-11-05 00:00:00 AMERICA/NEW_YORK,"",2009-10-21 00:00:00,"","1",2009-10-22 12:30:00 AMERICA/NEW_YORK,7,"Extended on 11/16/2009 per phone call from Pete Duley after flight. extended to 11/20/2009, extended to 12/1/2009","v"
94,"Cashes Ledge",2009-11-10 00:00:00 AMERICA/NEW_YORK,"",2009-10-26 00:00:00,"","1",2009-10-27 13:30:00 AMERICA/NEW_YORK,16,"see event #20","v"
95,"Jeffreys Ledge",2009-11-22 00:00:00 AMERICA/NEW_YORK,"",2009-11-07 00:00:00,"","3",2009-11-10 17:30:00 AMERICA/NEW_YORK,30,"Technically a 2nd extension of 10/12 DMA on Jeffreys. However, zone was expanded due to the large increase in the number of whales seen in the area., extended to 12/4/2009, extended to 12/17/2009","v"
96,"Cashes Ledge",2009-11-24 00:00:00 AMERICA/NEW_YORK,"",2009-11-09 00:00:00,"","1",2009-11-10 17:30:00 AMERICA/NEW_YORK,47,"Extension of 10/26 DMA on Cashes. However, zone was expanded due to the large increase in the number of whales seen in the area.","v"
97,"Jordan Basin",2009-12-19 00:00:00 AMERICA/NEW_YORK,"",2009-12-04 00:00:00,"","1",2009-12-04 17:30:00 AMERICA/NEW_YORK,27,"Established per phone call from Allison Glass after flight.","v"
98,"Jordan Basin",2010-01-15 00:00:00 AMERICA/NEW_YORK,"",2009-12-31 00:00:00,"","1",2010-01-04 11:35:00 AMERICA/NEW_YORK,37,"Delay due to New Year's holiday.","v"
99,"Jeffreys Ledge",2010-01-20 00:00:00 AMERICA/NEW_YORK,"",2010-01-05 00:00:00,"","1",2010-01-05 18:05:00 AMERICA/NEW_YORK,6,"extended to 1/28/2010","v"
100,"Nantucket, MA",2010-02-15 00:00:00 AMERICA/NEW_YORK,"",2010-01-31 00:00:00,"","0",2010-02-01 16:30:00 AMERICA/NEW_YORK,3,"experienced civilian","v"
101,"Nantucket, MA",2010-03-22 01:00:00 AMERICA/NEW_YORK,"",2010-03-07 00:00:00,"","1",2010-03-08 14:15:00 AMERICA/NEW_YORK,14,"","v"
102,"Great South Channel",2010-03-24 01:00:00 AMERICA/NEW_YORK,"",2010-03-09 00:00:00,"","1",2010-03-12 17:20:00 AMERICA/NEW_YORK,6,"Pkg transmittal to NERO delayed","v"
103,"Great South Channel",2010-04-04 01:00:00 AMERICA/NEW_YORK,"",2010-03-20 00:00:00,"","2",2010-03-22 17:55:00 AMERICA/NEW_YORK,8,"","v"
104,"Nantucket, MA",2010-04-28 00:00:00 AMERICA/NEW_YORK,"",2010-04-13 00:00:00,"","0",2010-04-14 11:40:00 AMERICA/NEW_YORK,3,"whale researcher","v"
105,"Block Island",2010-05-05 00:00:00 AMERICA/NEW_YORK,"",2010-04-20 00:00:00,"","1",2010-04-22 13:10:00 AMERICA/NEW_YORK,18,"","v"
158,"Block Island",2010-05-05 00:00:00 AMERICA/NEW_YORK,"",2010-04-20 00:00:00,"","1",2010-04-30 17:00:00 AMERICA/NEW_YORK,80,"Same DMA as the prev. Block Island DMA (i.e., triggered by the same sightings); however, due to exp. of BI SMA, box was exp. to incl. portions of the area that were prev. covered by the SMA","v"
106,"Cashes Ledge",2010-06-05 00:00:00 AMERICA/NEW_YORK,"",2010-05-21 00:00:00,"","1",2010-05-24 12:00:00 AMERICA/NEW_YORK,11,"","v"
107,"Jeffreys Ledge",2010-08-09 00:00:00 AMERICA/NEW_YORK,"",2010-07-25 00:00:00,"","8",2010-07-27 08:46:00 AMERICA/NEW_YORK,3,"","v"
108,"Jeffreys Ledge",2010-08-23 00:00:00 AMERICA/NEW_YORK,"",2010-08-08 00:00:00,"","7",2010-08-09 08:20:00 AMERICA/NEW_YORK,4,"Extension of 7/25/10","v"
109,"Jeffreys Ledge",2010-09-01 00:00:00 AMERICA/NEW_YORK,"",2010-08-17 00:00:00,"","0",2010-08-18 09:06:00 AMERICA/NEW_YORK,10,"Extension of 7/25/10 fishermen","v"
110,"Jeffreys Ledge",2010-09-14 00:00:00 AMERICA/NEW_YORK,"",2010-08-31 00:00:00,"","1",2010-09-01 10:57:00 AMERICA/NEW_YORK,6,"Extension of 7/25/10","v"
111,"Mount Desert Island",2010-09-25 00:00:00 AMERICA/NEW_YORK,"",2010-09-10 00:00:00,"","8",2010-09-13 15:06:00 AMERICA/NEW_YORK,4,"","v"
112,"Jeffreys Ledge",2010-09-27 00:00:00 AMERICA/NEW_YORK,"",2010-09-12 00:00:00,"","8",2010-09-13 15:06:00 AMERICA/NEW_YORK,7,"Extension of 7/25/10","v"
113,"Cashes Ledge",2010-10-28 00:00:00 AMERICA/NEW_YORK,"",2010-10-11 00:00:00,"","1",2010-10-14 15:29:00 AMERICA/NEW_YORK,10,"An error was made in plotting these DMAs, so the corrected notification announcements were sent out on 10/18/2010.","v"
114,"Jeffreys Ledge",2010-10-28 00:00:00 AMERICA/NEW_YORK,"",2010-10-11 00:00:00,"","1",2010-10-14 15:29:00 AMERICA/NEW_YORK,8,"An error was made in plotting these DMAs, so the corrected notification announcements were sent out on 10/18/2010.","v"
115,"Jordan Basin",2010-10-28 00:00:00 AMERICA/NEW_YORK,"",2010-10-12 00:00:00,"","1",2010-10-14 15:29:00 AMERICA/NEW_YORK,4,"An error was made in plotting these DMAs, so the corrected notification announcements were sent out on 10/18/2010.","v"
116,"Jeffreys Ledge",2010-11-08 00:00:00 AMERICA/NEW_YORK,"",2010-10-24 00:00:00,"","1",2010-10-28 07:18:00 AMERICA/NEW_YORK,14,"Extension of 10/11 -- implementation delayed until original DMA expired","v"
117,"Jeffreys Ledge",2010-11-27 00:00:00 AMERICA/NEW_YORK,"",2010-11-13 00:00:00,"","1",2010-11-16 15:19:00 AMERICA/NEW_YORK,10,"","v"
118,"Cashes Ledge",2010-11-27 00:00:00 AMERICA/NEW_YORK,"",2010-11-13 00:00:00,"","1",2010-11-16 15:19:00 AMERICA/NEW_YORK,14,"","v"
119,"Jordan Basin",2010-11-27 00:00:00 AMERICA/NEW_YORK,"",2010-11-15 00:00:00,"","1",2010-11-16 15:19:00 AMERICA/NEW_YORK,12,"","v"
120,"Jeffreys Ledge",2010-12-14 00:00:00 AMERICA/NEW_YORK,"",2010-11-29 00:00:00,"","1",2010-11-29 15:35:00 AMERICA/NEW_YORK,7,"Tim Cole called this DMA in prior to the official memo being transmitted to the NERO","v"
121,"Jordan Basin",2010-12-14 00:00:00 AMERICA/NEW_YORK,"",2010-11-30 00:00:00,"","1",2010-12-01 15:24:00 AMERICA/NEW_YORK,16,"","v"
122,"Cashes Ledge",2010-12-14 00:00:00 AMERICA/NEW_YORK,"",2010-11-30 00:00:00,"","1",2010-12-01 15:24:00 AMERICA/NEW_YORK,4,"","v"
123,"Cashes Ledge",2011-01-02 00:00:00 AMERICA/NEW_YORK,"",2010-12-18 00:00:00,"","1",2010-12-21 10:56:00 AMERICA/NEW_YORK,28,"","v"
124,"Jordan Basin",2011-01-02 00:00:00 AMERICA/NEW_YORK,"",2010-12-18 00:00:00,"","1",2010-12-21 10:56:00 AMERICA/NEW_YORK,5,"shipboard survey","v"
125,"Jeffreys Ledge",2011-01-15 00:00:00 AMERICA/NEW_YORK,"",2010-12-30 00:00:00,"","1",2011-01-04 11:01:00 AMERICA/NEW_YORK,3,"","v"
127,"Jordan Basin",2011-01-15 00:00:00 AMERICA/NEW_YORK,"",2010-12-31 00:00:00,"","1",2011-01-04 11:01:00 AMERICA/NEW_YORK,8,"","v"
